Detector,Time,qPKW
04300V72813_3,14600,1
81077V72158_4,14610,1
81077V72158_2,14620,1
88356V72157_1,14640,1
04211V1677432_1,14650,1
16219V72812_1,14670,1
81077V72158_2,14690,1
04300V72813_1,14700,1
21801V72158_2,14710,1
81077V72158_1,14720,1
04211V1677432_2,14750,1
81077V72158_3,14840,1
81077V72158_3,14850,1
16219V72812_1,14880,1
21801V72158_2,14880,1
04211V1677432_1,14890,1
16219V72812_1,14890,1
21801V72158_2,14890,1
04300V72813_3,14910,1
10236V72161_4,14960,1
81077V72158_2,14960,1
04300V72813_1,14980,1
81077V72158_1,15020,1
81077V72158_4,15020,1
04211V1677432_2,15030,1
81077V72158_1,15030,1
04211V1677432_1,15060,1
04300V72813_3,15060,1
10236V72161_1,15060,1
04300V72813_3,15070,1
81077V72158_2,15070,1
04300V72813_3,15080,1
16219V72812_2,15080,1
81077V72158_4,15090,1
81077V72158_2,15110,1
16219V72812_1,15120,1
10236V72161_2,15130,1
81077V72158_2,15160,1
21801V72158_1,15170,1
27372V72852_2,15180,1
27372V72852_1,15200,1
16219V72812_2,15210,1
04300V72813_1,15260,1
04300V72813_1,15270,1
16219V72812_1,15270,1
04211V1677432_1,15280,1
10236V72161_2,15280,1
16219V72812_1,15280,1
04211V1677432_2,15290,1
10236V72161_1,15320,1
81077V72158_1,15320,1
81077V72158_2,15330,1
81077V72158_3,15370,1
16219V72812_2,15410,1
27372V72852_2,15450,1
81077V72158_4,15470,1
04211V1677432_1,15490,1
81077V72158_2,15500,1
04300V72813_3,15530,1
16219V72812_2,15530,1
04300V72813_1,15550,1
16219V72812_1,15560,1
04211V1677432_2,15570,1
81077V72158_2,15580,1
81077V72158_3,15600,1
81077V72158_2,15620,1
81077V72158_2,15650,1
81077V72158_3,15670,1
04300V72813_3,15680,1
04300V72813_3,15690,1
04211V1677432_1,15710,1
04211V1677432_1,15720,1
81077V72158_2,15730,1
16219V72812_1,15740,1
16219V72812_2,15800,1
04300V72813_1,15810,1
81077V72158_3,15820,1
04211V1677432_2,15890,1
21801V72158_1,15900,1
27372V72852_1,15910,1
04211V1677432_1,15920,1
16219V72812_1,15920,1
81077V72158_1,15920,1
81077V72158_2,15930,1
81077V72158_2,16000,1
10236V72161_1,16050,1
81077V72158_2,16050,1
81077V72158_2,16070,1
04300V72813_1,16090,1
04211V1677432_1,16140,1
10236V72161_2,16140,1
16219V72812_1,16140,1
81077V72158_2,16150,1
16219V72812_2,16180,1
04300V72813_3,16190,1
